,avg_salary,company,job title,location,company_type,company_sector,age,max_salary,title
239,50.0,HURRYMAN,Consultant Senior / Manager : Data Analyst (H/F),Paris,Company - Private,Human Resources & Staffing,8,55,Senior
240,50.0,Publicis Sapient,Data Scientist - Senior Manager (H/F),Paris,Company - Public,Management & Consulting,33,55,Senior
241,50.0,TotalEnergies,Data Scientist IA débutant F/H - Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle,Pau,Company - Public,"Energy, Mining & Utilities",99,55,junior
242,50.0,Damart,Data analyst junior - H/F,Roubaix,Unknown,Manufacturing,-1,55,junior
243,50.0,Inetum,Data Analyst H/F,Lille,Company - Private,Information Technology,53,55,junior
244,50.0,Matmut,Data scientist F/H,Rouen,Company - Private,Insurance,62,55,junior
245,50.0,Onera,CHERCHEUR EN SCIENCE DES DONNEES POUR L’AERODYNAMIQUE H/F,Bordeaux,Company - Public,Aerospace & Defense,77,55,junior
246,50.0,CS GROUP,Chef de projet / Coordinateur Data Science - F/H,Toulouse,Company - Private,Information Technology,55,55,junior
247,50.0,Inetum,Data Analyst SAS / Hadoop H/F,Brest,Company - Private,Information Technology,53,55,junior
248,50.0,LIMAGRAIN EUROPE SAS,Analyste de données en sélection Maïs (H/F),Ennezat,Company - Private,Agriculture,58,55,junior
249,50.0,GROUPE LIMAGRAIN,Data Analyst (H/F),Saint-Beauzire,Company - Private,Agriculture,58,55,junior
250,50.0,MJV Technology & Innovation,Data Analyst,Lille,Company - Private,Information Technology,26,55,junior
